,"Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$"
"Lesotho","44.2","41.8","40.0","41.6","44.6","44.2","40.9","40.0","39.2","37.0","36.9","29.9","29.0","27.9","28.3","27.0","28.8","30.0"
"Liberia","47.6","57.7","62.7","61.0","51.9","47.5","50.8","48.3","48.7","44.2","56.6","41.6","47.5","44.9","13.8","16.4","17.4","26.1"
"Libya","","","","","","","230.0","287.2","301.7","181.3","204.2","209.6","213.4","237.3","285.7","282.0","368.3","357.2"
"Lithuania","688.3","646.0","592.7","547.6","534.7","490.4","415.7","372.5","355.6","365.8","310.5","304.7","266.0","234.7","179.5","164.3","155.9","141.7"
"Luxembourg","636.7","609.3","604.9","629.6","607.3","636.6","619.5","622.0","602.8","576.0","544.0","704.8","638.9","605.2","559.0","551.6","492.2","468.4"
"Madagascar","21.1","20.2","20.4","19.9","20.2","20.0","20.2","26.4","26.0","25.7","23.9","24.2","24.2","22.4","22.4","20.7","21.6","22.6"
"Malawi","12.2","13.0","12.0","9.2","8.6","9.2","7.1","8.0","9.0","8.1","7.7","4.8","4.1","4.0","3.9","3.6","6.4","6.9"
"Malaysia","432.2","396.1","369.2","339.1","303.9","282.0","259.8","230.5","216.0","225.8","216.2","202.8","186.1","176.5","160.4","139.5","137.1","146.0"
"Maldives","311.1","302.5","250.0","323.0","359.1","358.8","398.2","400.1","385.7","464.8","441.6","419.9","405.6","421.1","325.2","332.0","323.3","484.3"
"Mali","29.6","28.7","28.8","29.6","25.7","30.9","37.6","48.3","57.4","55.7","54.2","50.6","46.4","42.7","45.0","41.6","40.7","43.6"
"Malta","1370.4","1244.0","1255.6","1151.7","836.1","818.0","814.2","755.2","688.2","690.7","637.3","608.4","559.4","489.8","477.5","435.5","386.1","319.3"
"Marshall Islands","88.1","84.2","85.8","82.9","78.0","76.5","77.0","74.8","70.0","71.2","67.7","62.2","59.5","55.9","52.7","50.6","48.6","45.6"
"Mauritania","84.3","83.1","86.1","78.3","68.2","66.6","63.8","69.6","79.3","77.2","79.0","75.2","81.6","81.9","83.3","82.4","82.0","78.8"
"Mauritius","624.5","581.9","571.2","533.4","456.5","385.3","379.1","374.8","366.4","353.6","266.8","239.6","212.2","168.1","156.8","145.0","126.1","119.0"
"Mexico","427.5","413.3","414.5","393.4","413.5","414.6","391.0","405.0","411.5","403.0","422.3","410.2","394.1","377.4","362.7","300.5","278.9","250.5"
"Micronesia (Federated States of)","11.9","11.4","11.2","10.5","11.0","12.1","13.5","13.7","14.7","15.0","15.0","16.2","16.4","14.3","12.9","11.3","10.5","9.2"
