,"Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$"
"Mongolia","148.8","163.5","167.3","175.2","178.4","168.4","135.2","99.1","76.6","97.5","66.6","50.0","37.5","33.2","26.5","29.7","26.5","27.0"
"Morocco","161.0","153.5","147.4","170.1","179.6","169.5","176.9","168.7","169.6","155.2","137.3","109.9","97.3","93.4","79.4","63.4","55.8","53.6"
"Mozambique","21.1","19.5","27.8","37.2","32.9","31.1","23.6","21.5","23.0","23.0","23.0","23.3","23.4","16.8","14.9","13.2","12.5","10.5"
"Myanmar","58.0","58.2","62.0","53.0","36.8","27.8","20.4","15.1","13.9","11.0","7.4","6.3","5.7","5.2","4.9","5.3","3.5","3.4"
"Namibia","447.3","414.5","477.2","452.5","490.0","546.6","550.2","504.6","375.5","399.8","452.8","397.5","368.2","338.8","248.1","168.7","176.8","200.7"
"Nauru","1106.8","1264.3","1054.2","936.9","793.3","857.6","688.5","650.2","566.1","814.5","588.7","362.1","326.8","317.0","343.6","294.4","270.4","292.0"
"Nepal","47.9","45.5","45.1","41.0","34.6","33.5","34.3","30.0","21.2","19.2","17.5","14.0","14.5","13.3","11.4","10.8","10.6","8.6"
"Netherlands","4911.4","4753.4","4674.7","5594.4","5531.2","5284.9","5554.8","5186.6","5261.6","5360.7","4689.9","4076.6","3822.0","3682.9","3237.1","2532.9","2173.8","2023.1"
"New Zealand","3937.2","3745.2","3582.3","4144.5","3955.5","3806.6","3626.0","3216.2","2700.9","2839.1","2699.3","2301.9","2295.2","1983.7","1610.9","1246.3","1049.4","1053.9"
"Nicaragua","192.1","188.5","165.9","158.2","139.0","137.1","125.0","107.6","110.0","106.5","92.9","75.0","71.4","65.0","53.7","57.1","57.3","53.3"
