,"Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"
"Eswatini","6.9","6.8","7.1","7.3","7.5","7.9","8.5","8.6","8.6","8.9","7.9","7.8","7.4","6.8","6.4","5.5","5.1","4.6"
"Ethiopia","3.5","3.9","3.9","4.0","4.1","4.5","4.5","5.5","4.6","4.3","5.0","4.5","4.1","4.3","4.9","4.7","4.7","4.4"
"Fiji","3.5","3.5","3.6","3.6","3.5","3.5","3.4","3.7","3.8","3.4","3.7","3.7","3.6","3.6","3.2","3.2","3.2","3.7"
"Finland","9.2","9.4","9.7","9.5","8.7","9.3","9.0","8.9","8.9","8.1","7.8","8.0","8.0","7.8","7.7","7.4","7.0","6.8"
"France","11.3","11.5","11.5","11.6","11.4","11.3","11.2","11.2","11.3","10.5","10.3","10.4","10.2","10.2","10.1","10.0","9.7","9.6"
"Gabon","2.8","3.1","2.7","2.5","2.8","2.4","2.6","2.5","3.8","2.8","3.2","3.1","2.9","3.3","3.5","3.3","3.2","2.9"
"Gambia","3.3","3.0","3.1","3.5","4.1","3.9","4.0","3.4","3.5","3.5","3.6","3.3","2.8","2.5","2.3","2.4","2.4","2.7"
"Georgia","7.6","8.4","7.9","8.4","8.4","8.4","8.4","9.5","9.8","8.7","7.6","7.8","8.3","8.3","8.3","8.0","7.4","7.4"
"Germany","11.2","11.1","11.1","11.0","10.9","10.8","10.7","11.0","11.1","10.2","10.0","10.1","10.2","10.1","10.3","10.1","9.9","9.8"
"Ghana","3.3","3.5","4.6","4.1","4.6","4.1","4.7","4.6","4.6","4.1","4.0","3.8","3.8","2.9","2.8","2.8","3.2","2.8"
"Greece","8.0","8.3","8.1","7.9","8.4","8.9","9.1","9.6","9.5","8.9","8.5","8.3","8.6","8.1","","","",""
"Grenada","4.8","4.7","4.7","4.7","5.7","5.9","6.2","6.2","6.1","5.8","5.9","6.0","5.5","5.3","5.4","6.0","5.6","5.3"
"Guatemala","5.8","6.0","6.0","5.9","6.2","6.0","5.9","6.1","6.4","6.3","6.4","6.6","6.4","6.5","6.5","6.3","6.4","5.7"
"Guinea","4.1","5.3","5.8","4.8","3.5","3.5","3.8","3.0","3.0","2.9","3.1","2.9","3.1","3.3","3.6","4.1","3.6","3.5"
"Guinea-Bissau","7.2","8.0","8.6","9.5","6.9","5.7","6.0","6.6","7.2","7.3","7.6","7.3","7.7","8.0","6.6","6.3","6.8","7.7"
"Guyana","4.9","5.1","4.5","5.1","5.1","4.9","5.2","5.5","5.2","4.9","5.2","5.0","5.2","4.9","4.3","4.2","4.0","3.9"
"Haiti","8.0","8.4","8.6","7.8","7.2","9.7","10.2","8.1","6.2","6.0","5.9","5.5","5.5","5.9","5.8","6.0","6.6","6.9"
"Honduras","7.9","8.2","7.7","8.2","8.5","8.6","8.8","8.7","8.9","8.6","8.2","8.1","7.7","7.0","6.9","6.4","6.1","6.4"
"Hungary","6.9","7.1","7.0","7.1","7.3","7.5","7.5","7.5","7.2","7.1","7.2","7.8","8.0","7.8","8.1","7.1","6.8","6.8"
"Iceland","8.3","8.1","8.2","8.3","8.2","8.2","8.3","8.5","8.9","8.6","8.6","8.8","9.1","9.5","10.0","9.5","8.8","9.0"
"India","3.5","3.5","3.6","3.6","3.7","3.3","3.2","3.3","3.5","3.5","3.5","3.6","3.8","4.0","4.0","4.2","4.3","4.0"
"Indonesia","3.0","3.1","3.0","3.1","3.0","2.9","3.0","3.0","2.7","2.6","2.9","2.7","2.6","2.2","2.3","2.0","2.2","1.9"
"Iran (Islamic Republic of)","8.7","8.9","7.8","6.9","6.0","6.6","6.6","6.8","6.6","5.3","5.0","5.2","5.3","5.2","5.1","4.8","5.1","4.7"
"Iraq","4.2","3.3","3.1","2.8","2.8","2.7","2.8","3.2","3.8","3.0","3.1","2.4","2.9","3.8","3.0","","",""
"Ireland","7.2","7.4","7.3","9.7","10.3","10.7","10.7","10.5","10.5","9.1","7.8","7.5","7.6","7.2","7.0","6.7","6.4","5.9"
"Israel","7.4","7.3","7.1","7.1","7.1","7.1","7.0","7.0","7.1","7.0","6.9","6.9","7.1","7.0","7.1","7.2","7.2","6.8"
"Italy","8.8","8.9","9.0","9.0","9.0","9.0","8.8","9.0","9.0","8.6","8.2","8.5","8.4","8.2","7.9","7.9","7.8","7.6"
"Jamaica","6.0","5.7","5.7","5.2","5.2","5.0","4.9","5.0","4.8","5.4","5.1","4.5","4.4","5.3","4.6","4.9","5.3","5.8"
"Japan","10.9","10.8","10.9","10.8","10.8","10.8","10.6","9.2","9.1","8.2","7.9","7.8","7.8","7.7","7.6","7.5","7.4","7.2"
"Jordan","8.1","7.2","7.6","7.3","7.2","7.9","8.3","8.4","9.5","8.8","8.3","8.1","8.9","9.0","9.1","9.7","9.9","9.6"
"Kazakhstan","3.1","3.4","3.0","2.7","2.9","3.1","2.7","2.7","3.5","3.0","2.7","3.4","3.9","4.0","3.7","3.6","3.5","4.2"
"Kenya","4.8","5.0","5.2","5.5","5.5","5.6","5.8","6.1","6.0","6.0","6.0","5.9","5.3","5.3","5.2","5.0","4.8","4.6"
"Kiribati","10.8","9.3","8.0","9.9","9.5","8.6","8.6","9.2","13.4","14.1","11.4","11.6","11.5","12.4","10.7","11.9","12.3","8.6"
"Kuwait","5.3","4.0","4.0","3.2","2.6","2.6","2.6","2.8","3.9","1.9","2.1","2.3","2.4","2.8","3.2","3.6","3.6","2.5"
"Kyrgyzstan","6.2","6.4","7.1","7.4","8.2","8.5","7.1","7.0","6.9","6.5","6.9","8.3","7.5","6.2","5.8","4.6","4.3","4.4"
"Lao People's Democratic Republic","2.5","2.4","2.5","2.3","2.4","2.1","1.9","2.9","3.5","2.8","3.2","2.9","3.3","3.5","4.5","3.7","4.3","4.3"
"Latvia","6.0","6.2","5.7","5.5","5.4","5.4","5.6","6.1","6.2","5.6","5.8","5.7","5.9","6.2","5.5","5.8","5.8","5.4"
