,"Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$"
"Guinea","89.2","109.2","109.1","87.8","61.4","58.2","61.6","46.6","44.1","44.0","44.8","40.3","63.4","58.2","61.1","67.9","57.0","52.7"
"Guinea-Bissau","123.3","130.1","132.7","140.2","101.5","81.9","88.9","91.2","95.4","95.1","96.2","89.3","91.5","91.1","72.8","67.8","72.9","81.6"
"Guyana","405.1","403.3","341.5","375.4","350.7","320.3","316.9","311.0","278.7","255.3","259.0","228.0","345.1","318.6","271.6","261.4","241.6","222.4"
"Haiti","146.1","150.7","152.2","136.2","122.3","156.2","159.8","119.8","96.3","91.8","88.9","79.4","76.6","78.7","79.4","81.9","90.6","94.8"
"Honduras","394.8","389.9","355.9","365.3","367.2","364.5","355.8","339.2","337.9","338.2","307.4","285.7","252.7","215.5","200.6","178.4","164.3","169.5"
"Hungary","1979.4","1912.6","1835.0","1808.4","1773.1","1722.3","1720.5","1617.1","1495.7","1467.8","1372.8","1427.7","1364.6","1259.8","1254.0","1032.8","900.8","802.7"
"Iceland","4721.4","4311.3","3979.4","3772.5","3594.1","3385.2","3318.0","3352.7","3744.4","3797.9","3627.1","3498.5","3426.0","3381.3","3272.4","3110.2","2822.0","2666.7"
"India","253.3","233.0","220.7","206.0","197.3","163.8","150.5","145.9","143.1","135.2","130.2","122.6","117.4","111.9","103.8","101.5","98.5","88.5"
"Indonesia","367.9","362.6","333.5","329.5","296.1","273.7","261.2","244.6","224.1","214.0","219.5","189.4","170.7","133.4","132.8","111.3","113.7","95.5"
"Iran (Islamic Republic of)","1748.4","1711.7","1333.5","1208.7","1009.0","1115.7","1196.0","1176.5","1080.3","873.2","827.1","787.4","748.8","682.1","644.4","545.9","555.0","504.0"
