country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11800,12300,12900,12700,13000,12400,12500,12800,12700,13200,13600,14100,14700,15200,16000
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35000,,,,,,,,
India,329,334,337,350,368,351,343,362,367,383,394,391,380,384,380,406,403,423,437,406,424,438,441,462,468,482,494,502,537,556,574,567,586,603,631,667,706,721,752,804,818,845,864,916,973,1030,1100,1170,1190,1260,1340,1400,1450,1530,1620,1730,1850,1970,2080
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3040,3180,3330,3460,3570,3700,3850,3990,4150
Iran,,,,,,,,,,,,,,,,,,,7780,7100,4960,4570,5530,5640,4940,4860,4220,4090,3690,3800,4150,4550,4590,4570,4400,4500,4580,4580,4650,4580,4820,4800,5090,5470,5620,5730,5960,6390,6340,6310,6600,6700,6170,6080,6250,6090,6810,6960,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4710,,,,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26800,28700,31100,33200,35400,38200,38700,39700,41300,43500,45100,46700,47200,44200,40200,40800,39500,39100,41100,44400,49600,54100,56800,
Israel,,,,,,,,,,,13600,14700,16000,16200,16700,16700,16400,16300,16700,17300,17100,17700,17600,17900,17400,17700,18400,19600,20000,19800,20800,21300,22100,22400,23400,24400,24900,25100,25500,25400,26000,26000,25600,25400,26200,27300,28400,29600,29500,28900,30100,31100,30900,31700,32800,32800,33400,33900,34700
Italy,,,,,,,,,,,17800,18000,18600,19700,20600,20000,21300,21800,22400,23800,24600,24600,24600,24900,25700,26400,27100,28000,29200,30100,30500,30900,31000,30800,31400,32500,32900,33700,34300,34900,36200,36900,36900,36800,37200,37400,38100,38300,37300,35500,35900,36100,35000,33900,33700,33700,34600,35300,35800
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4840,4840,4540,4530,4590,4640,4590,4600,4580,4560,4640,4630
Japan,,,,,,,,,,,18700,19300,20700,22200,21400,21800,22500,23200,24300,25400,25900,26700,27500,28300,29400,30800,31600,33000,35100,36700,38400,39500,39800,39600,39800,40700,42000,42400,41800,41600,42800,42900,42800,43400,44500,45400,46200,47100,46300,43800,45700,45800,46500,47800,48100,48900,49000,50200,
Jordan,,,,,,,,,,,,,,,,,2040,2140,2520,2670,3070,3140,3230,3140,3200,3160,3240,3170,2930,2420,2340,2180,2510,2510,2530,2600,2570,2630,2680,2720,2870,2990,3070,3140,3350,3500,3660,3820,3860,3860,3660,3560,3450,3370,3320,3270,3250,3250,3250
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4660,4120,3840,3910,4030,4020,4100,4360,5020,5570,6000,6450,6780,7140,7570,7410,7770,7880,8010,8430,9240,9540,10200,9700,9680,9680
Kenya,,,,,527,522,578,576,604,638,589,695,783,780,787,771,748,791,815,845,864,864,838,823,805,809,835,852,871,889,885,865,832,792,796,820,843,827,834,827,812,819,803,803,823,855,883,917,897,901,948,983,996,1020,1050,1080,1120,1150,1190
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2220,,,,,,,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41400,42600,43800,42100,40700,39500,40000,37700,37700
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,705,557,518,547,585,584,589,612,651,647,687,717,715,742,801,839,855,824,826,874,925,956,976,984,1010,1050
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,651,677,707,726,769,823,850,920,963,1040,1070,1130,1210,1300,1390,1470,1550,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5180,5360,5910,6340,6470,6950,7520,8140,8850,9550,10800,12000,13200,13200,12400,11500,12300,12900,13400,13700,14300,14700,15400,16000
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3660,4380,4940,5100,5320,5510,5920,5860,5950,5860,5830,5690,5370,4590,5440,5610,5720,6380,6880,7340,7650,7410,7160,6880,6570,6330,6220,6270,6210
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,1470,1440,1500,1500,1530,1540,1550,1590,1640,1580,1590
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554,533,530,358,399,408,425,453,466,460,467,502,508,538,528,521,500,497,477
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12100,,,,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119000,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9430,10400,11300,12400,12900,11700,11900,12600,13200,14000,14700,14800,15300,16200,17100
Luxembourg,,,,,,,,,,,35300,35700,38000,39400,39400,39300,41600,42400,43300,41300,37800,32700,39400,46900,48400,51100,54800,57200,60300,64300,67500,72900,72600,73900,73200,75600,75700,81800,82300,85600,89900,93400,87500,80700,93200,95500,87300,103000,97000,70700,75700,72400,70700,68700,68900,69300,69100,69600,69400
Madagascar,789,787,785,758,769,747,771,793,825,829,851,858,828,783,773,762,718,719,680,723,708,614,584,569,550,545,538,521,519,523,542,482,482,480,461,455,454,463,469,479,483,499,421,449,457,466,476,495,514,477,466,460,454,452,457,453,458,468,476
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357,368,378,382,389,417,436,457,471,481,472,479,494,493,502,510,
Malaysia,1290,1370,1420,1480,1500,1570,1650,1700,1790,1810,1890,2010,2150,2330,2440,2430,2630,2760,2850,3030,3210,3360,3440,3510,3660,3520,3500,3590,3850,4070,4370,4630,4900,5270,5620,6010,6450,6700,6040,6150,6470,6430,6680,7000,7340,7630,8020,8420,8570,8380,8750,9150,9380,9730,10200,10600,10900,11400,11700
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6230,,,,,,,,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480,528,498,502,501,489,510,520,546,565,551,594,586,638,628,648,652,660,672,680,682,684,655,659,685,706,720,729,749
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17900,18500,18800,19000,19000,19000,19200,20000,20600,19100,20000,20600,20800,21400,22900,24400,24400,25400,26300
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,3650,3570,3640,3380,3380,3510,3490,3280,3470,3570,3880,3880,3940,4020
Mauritania,,,,,,,,,1160,1110,1230,1210,1170,1120,1230,1070,1060,1060,1060,1080,1100,1080,1030,1020,981,961,975,968,973,1000,962,971,967,989,933,999,1100,1020,1030,1080,1040,1000,1040,1070,1100,1160,1260,1270,1270,1240,1220,1210,1240,1280,1300,1290,1290,1300,1330
Mauritius,,,,,,,,,,,,,,,,,2420,2510,2560,2590,2280,2340,2430,2430,2500,2650,2900,3180,3370,3540,3770,3930,4140,4290,4370,4530,4710,4940,5180,5260,5640,5810,5870,6120,6370,6450,6790,7280,7560,7710,7930,8160,8840,9420,9760,10100,10500,11000,11400
